0.000 [ Info   ][Logger] Successfully extracted environment variable ORO_LOGLEVEL
0.020 [ Info   ][Logger]  OROCOS version '2.8.99' compiled with GCC 5.4.0. Running in GNU/Linux.
0.020 [ Info   ][Logger] Orocos Logging Activated at level : [ Info   ] ( 5 ) 
0.020 [ Info   ][Logger] Reference System Time is : 15874388498800 ticks ( 15874.4 seconds ).
0.020 [ Info   ][Logger] Logging is relative to this time.
0.020 [ Info   ][Logger] No RTT_COMPONENT_PATH set. Using default: /
0.020 [ Info   ][Logger] plugin 'rtt' not loaded before.
0.020 [ Info   ][Logger] typekit 'rtt' not loaded before.
0.021 [ Info   ][Logger] No RTT_COMPONENT_PATH set. Using default: /
0.021 [ Info   ][TypekitRepository::Import] Loading Typekit base.
0.021 [ Info   ][TypekitRepository::Import] Loading Transport CORBA:///orogen/base.
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /RTT/extras/ReadOnlyPointer</base/samples/frame/Frame>
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /RTT/extras/ReadOnlyPointer</base/samples/frame/FramePair>
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Affine3d
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Angle
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/AngleAxisd
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointLimits
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointState
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointState/MODE
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointTransform
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointTransformVector
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointsTrajectory
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Matrix2d
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Matrix3d
0.022 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Matrix4d
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Matrix6d
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/MatrixXd
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Pose
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Pressure
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Quaterniond
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Temperature
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Time
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Trajectory
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/TransformWithCovariance
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/TwistWithCovariance
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Vector2d
0.023 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Vector3d
