0.000 [ Info   ][Logger] No ORO_LOGLEVEL environment variable set.
0.001 [ Info   ][Logger]  OROCOS version '2.8.99' compiled with GCC 5.4.0. Running in GNU/Linux.
0.001 [ Info   ][Logger] Orocos Logging Activated at level : [ Warning] ( 4 ) 
0.001 [ Info   ][Logger] Reference System Time is : 17848339353447 ticks ( 17848.3 seconds ).
0.001 [ Info   ][Logger] Logging is relative to this time.
0.001 [ Info   ][Logger] No RTT_COMPONENT_PATH set. Using default: /
0.001 [ Info   ][Logger] plugin 'rtt' not loaded before.
0.001 [ Info   ][Logger] typekit 'rtt' not loaded before.
0.001 [ Info   ][Logger] No RTT_COMPONENT_PATH set. Using default: /
0.001 [ Info   ][TypekitRepository::Import] Loading Typekit aggregator.
0.001 [ Info   ][TypekitRepository::Import] Loading Transport CORBA:///orogen/aggregator.
0.001 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /aggregator/StreamAlignerStatus
0.001 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /aggregator/TimestampEstimatorStatus
0.005 [ Info   ][TypekitRepository::Import] Loading Transport MQueue:///orogen/aggregator.
0.005 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /aggregator/StreamAlignerStatus
0.005 [ Info   ][TypekitRepository::Import] Registered new 'MQueue' transport for /aggregator/TimestampEstimatorStatus
0.005 [ Info   ][TypekitRepository::Import] Loading Transport Typelib:///orogen/aggregator.
0.006 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /aggregator/StreamAlignerStatus
0.006 [ Info   ][TypekitRepository::Import] Registered new 'Typelib' transport for /aggregator/TimestampEstimatorStatus
0.006 [ Info   ][TypekitRepository::Import] Loading Typekit base.
0.007 [ Info   ][TypekitRepository::Import] Loading Transport CORBA:///orogen/base.
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /RTT/extras/ReadOnlyPointer</base/samples/frame/Frame>
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /RTT/extras/ReadOnlyPointer</base/samples/frame/FramePair>
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Affine3d
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Angle
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/AngleAxisd
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointLimits
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointState
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointState/MODE
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointTransform
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointTransformVector
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/JointsTrajectory
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Matrix2d
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Matrix3d
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Matrix4d
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Matrix6d
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/MatrixXd
0.007 [ Info   ][TypekitRepository::Import] Registered new 'CORBA' transport for /base/Pose
